<<<<<<< HEAD
9-10 n: qgtcnnnnnkcnnn
2-4 v: vrcvv
4-5 h: hhhdwh
8-9 c: zcccccccc
13-14 p: pjxcpmdpppmgwt
2-6 c: gskmcc
6-7 q: qqqqqqqq
3-13 b: gfbxqtnxnqxbb
8-10 l: lhrlqlrqlsllll
5-8 z: jlzgzzzq
10-13 z: zzzzzzzpzkzzgz
6-7 d: wddnddd
10-11 h: vbhhbhhhhbz
7-10 s: sxssksskqs
1-12 b: vdgxvsxpgbbpd
5-6 n: npnvckn
3-4 v: vvjvv
9-15 r: njhhqlmcmncjrpx
2-8 h: bghrdhhrjbhhhbjz
5-7 q: qqqqlflrq
9-12 f: qfhfffffffffffff
2-3 m: mmmblxmbpz
13-16 v: vvvvvvvqvvvvlvvw
6-12 b: wbfgbghzbmvf
12-15 r: rbrrrrthrrrrrrrr
4-8 k: pkprqkkkpsphwnhp
8-9 h: hhhhhhhsl
1-3 b: bsbn
15-16 j: ktjjjxjfjjrjjcjk
4-8 z: smzzmzzszzr
3-4 m: qmmmzqzlrpt
11-12 n: nnnnngnnnnwgnnnn
5-10 x: slpbxqfxxxx
12-19 q: qqqqgqqqsqqqqqqqsqqq
4-10 s: ssstssssss
6-11 g: gggggvggggzggggggg
12-14 c: cckccccdccxnngccc
3-5 j: jnrjvj
2-6 t: vtdtms
13-15 p: ppppppppppppjpq
1-9 j: jjjjjjjjjjj
8-9 d: wfdddddkddxd
3-7 p: pwpcpvp
3-4 h: hhzl
9-10 n: lnkjxnsbnn
7-11 z: zzzzfznzbzbzbzd
1-2 m: mmzlmkm
6-7 t: jbmpztx
5-6 v: vvbvvtn
7-17 q: lvdfpbqxbxdnwqzjlfs
3-5 z: zdzzzxczbzzz
10-14 f: fpffffffffffff
3-8 x: wxxchxjx
1-6 x: xxxxxx
14-15 x: zmxtcbjxtvxxxxg
4-5 f: qfffghf
2-3 p: pppp
10-12 n: nnngnxnnnhnsbntln
1-2 w: ftwwww
10-11 f: fffffffffpkf
4-5 n: nnnnnn
10-11 r: rrrrtrrlrrrr
5-6 h: hjhxhhnbhlbxvhs
1-4 q: qqqq
7-11 p: dkpfppwzpxqqx
11-17 l: lzknllnllkgvllllh
1-3 z: zzzzz
16-17 b: bbbbbbbbbbbbbbbbbb
2-4 n: qcpwnhn
1-4 v: svvhvvv
10-12 l: llllllllllljl
1-2 l: xzlllllll
1-3 l: plklll
4-8 x: xxxxfxbxcxxqxfxpx
3-8 b: xgbbwncxclbv
5-6 m: mmmmmmm
4-5 p: pptppfnpl
14-16 x: gwjfkzwrldzxpdxgk
10-11 z: zzzzvzzzzzzz
3-12 k: kkxkblkkkkkgkkkmkk
4-6 p: pppfpx
2-7 r: rrmrrrrrrrrrr
7-9 p: pbpfpppppp
2-3 v: tvvbbjnvv
5-8 j: jjjjjjjjj
2-5 c: xcwcczjkvgccccvpkd
5-7 f: ffffpfqfffff
11-13 m: qmmmmmmmlwkmmmmmm
14-15 d: dddddddpmddddszdd
6-15 b: kptphpbxxqsbxlhxplml
16-18 x: xxkzfxgqxdcvzdxlzn
10-12 m: clrmmmmksmmm
1-3 w: wwpww
8-15 g: ggggggnlgggggggggng
3-6 h: tnhhxh
4-5 l: lllrdllxlnllqll
1-2 m: lmjhvl
1-4 k: dkkhkkk
6-7 x: wncxcxf
4-5 w: wwwhfww
4-8 b: bshnbbdbmfxbbrc
4-7 t: tbdtztm
7-8 n: zntlhccn
10-14 f: frgffffffflfzlf
3-4 b: nzbbbnfbdg
2-6 m: srmwsmtp
5-6 z: zzpvsrz
2-13 m: msmmmhmmmmmmtm
3-4 c: ccvcc
1-4 n: nnnnnn
2-3 j: zdvsj
4-6 c: ccctccc
4-5 z: zzpdztnrzl
4-6 z: hzdzpz
2-6 x: gxjxcxxjqcb
4-9 j: jjjvjcgzl
5-8 z: dmppvjqfzzzzn
5-7 v: vvvvvvr
2-5 l: lvkkft
2-11 n: nnhnqnnvnsn
1-3 d: dhndddjfd
8-9 x: xxxxxxxxxxxxxxxxxxxx
4-9 p: fntpgcwtwv
4-12 q: qbrlqzqcnwtjq
2-3 f: ftcjvnfkzx
1-2 d: dddd
7-10 g: gggggghggzgg
4-6 g: zhgbgphggtm
2-4 l: lblq
14-17 n: bnnngnnnnnnznnnnn
5-6 f: fxxffffhmswq
6-10 p: pppppppppp
2-4 q: lsxgqkqsblqqq
11-19 x: xxnrgxxxxxxxxxfwmxx
4-7 j: jjjtjjljjjjjjj
6-7 l: llllllll
1-4 f: pfftffffnffff
11-13 r: xrrlrrrrrqrrzrr
1-3 p: pvpqp
9-13 d: ddddxrnddddfdscsd
1-2 f: lbbr
3-7 t: mpttsgwb
2-10 c: jccchctshcpchwx
2-4 p: lmpd
1-2 n: zlnxnnf
2-3 w: fwwtqw
9-16 s: sssssssssssssssssssj
1-5 s: hssrm
15-17 b: ghpvwjbzpksvhsjbj
8-9 h: hzrvxhhdz
3-4 j: mkjjpvkfhprr
1-8 n: cnnnnnnmnn
1-4 x: lxxxx
3-5 m: pjttcvvcmfvzffcfmmv
3-10 r: rsxtvwjrfrqrrbzzr
2-7 h: hhckhhr
7-8 r: srrrmprrrhkzsndrrkr
4-13 m: pdsmlsnxcmhmmsvc
3-12 d: ddsdddddddddddddd
14-16 s: sssssssssssssjsds
3-4 m: djfp
2-5 w: bgwpc
4-5 r: zffrrqrs
4-9 r: rrrgrrrrqrrrrrrr
4-6 w: wxwwvw
7-8 d: tvddddwtdddldd
6-7 g: tgdggggfzrgqggggmggg
2-6 t: tgtfdtttttttttqxd
14-18 f: fffsffgfffffskfkff
1-12 b: qbvbbbbmbsqbcbgbbbcp
5-7 d: ddbqhdddsdm
6-9 n: tqwnckjsn
1-3 n: nnnn
5-10 w: wwwwwwwlwwqwwwp
3-4 r: rrrr
2-12 m: mmchtqmhfdpm
6-9 d: dzgzdbddwgdwldb
10-14 k: kkkkkkkkkkkkkzkkkkk
13-14 v: vvvvvvvvvvvvvvvv
2-12 f: btqtbrvkmfzhz
1-5 b: bbbbbb
7-10 j: jhjnjjwnjbj
2-16 h: kjszvtwrjgrvzrqlzcb
6-8 t: nxzftvtnrtxg
3-6 h: cvhhnhnhhcgst
5-8 f: fxgfjnjzz
11-12 b: bbbbbnbbbzbqbbbq
1-6 h: hjzhhw
18-19 m: xrvmftmpkpmrlkqmxvm
6-7 v: cvxbdsr
5-6 v: vjvvvvf
2-3 m: mmzpm
3-4 k: mkghkxc
1-6 s: sjsmjsstsss
2-10 s: wndvkxbmffh
9-15 q: qqqqqqqqqqqqqqqqq
4-5 f: rffffpc
10-11 v: vvvvvvrvvlmv
6-7 n: tnnnnlq
16-18 g: gggggdgdgggggggggggg
5-11 l: lwlfvzlsjll
11-14 v: vvvvvvvrvwvvvv
12-16 j: jjjjjjjjjjjpjjjx
4-6 w: wwwwwr
2-4 d: ncdd
15-17 c: nccccctccwccccqcqcc
3-5 m: mnlmqtsvn
7-8 w: swwwwwnl
6-12 l: zlplklqldllxlpvb
7-9 h: fhkhqnfhhzrhqhhh
11-14 v: vvvvvvvvvvvvvv
16-18 v: vnvvsllmvswcvzqvvxjl
7-9 k: kkkzkkkkskkkzkkkjlk
5-17 w: wckwxwlrlwrncxwwb
2-4 v: vqvvqgx
2-3 b: bbbbbbmbbbbqb
4-5 p: ptphbprpv
3-6 q: kqqkpqbnt
15-20 n: nnnnnnngnnnnnnnnnnnw
10-12 p: pppppxpppmpnjp
5-10 x: bhwlxkrdxxqvkphvmfgn
2-3 l: lllhql
4-11 l: wllvwfccllk
7-11 d: dmvmmzlngpw
2-6 v: rskbvv
7-9 k: kwtckkkkx
11-12 j: jnjjfzjjjjjjjj
2-5 v: rvvnnjjxjnnt
2-6 j: ljcqpjmhgmmcxjkgd
1-3 k: lklbx
14-15 c: ccccccccccccckc
2-6 x: xxxxxxxxxxxx
1-7 t: btrtxtjgtt
2-3 t: sttt
5-7 k: kkkkzksxgb
3-4 q: mnnxqwtnw
8-10 t: vwzmnxjdzx
4-10 f: svglffffpzw
1-5 s: dsfjsv
8-10 m: vmwpmmmjmv
6-7 h: hhhhhwxhhhhhhhhhhhhh
7-19 n: ktlblznjctnnrzwrknt
3-6 n: nzxclnvc
2-5 t: wtrttkx
9-10 j: jjjjjjxjjj
12-13 r: rrrrrjrrrrrwx
11-16 c: plvcnjcpnkvcpcmcpbc
2-3 c: gccclcslqdmsg
10-13 d: dddddddddhddd
8-9 w: kklwmwqmwwtwqw
2-5 q: qsqqwx
3-4 c: hcqvfbccccctcc
6-7 k: kkkwqgv
13-15 h: qhhmhkjvhhhhngnhhhhs
4-5 d: msjdd
6-7 g: ggggggg
5-8 r: cqrdrfxnrrjrsr
9-15 r: lprrqrrrrrrrrrrbr
6-7 h: hhrqhrlhhh
2-3 g: glgg
1-11 n: nnnnnnnnlnnjzwnnnn
3-6 l: bwllrl
2-6 p: nptphqv
3-8 l: lrlknvlpcm
2-8 g: wjbgpjrlfsgg
5-6 w: swwfww
1-8 p: pptpxppppppwpppfx
3-4 d: wlddg
15-17 c: sccccccgccccccccc
4-6 n: nnnhnp
8-9 r: prvrxmprlzxs
9-12 t: ttttttttttttkrtt
5-6 h: hhhhkfh
1-10 q: psqpzpkqtcq
4-7 f: ffflnfzkf
10-11 j: jjjvjjxfjjj
4-11 p: wlhgrxlclnt
1-14 t: wfntvttxmldhqg
14-19 c: ccpczqrccfhtcvljlvc
11-12 w: wwwwwwwwwwwww
2-8 z: lzsdqxzz
17-18 p: pppppppppppqphppprpp
2-4 j: wjjq
4-6 f: ffkfffgff
8-20 x: phxxxxxnwxxdqzxxxxxx
9-10 d: xvddddsldd
3-10 l: rglllxlnfl
6-15 d: ddddddgddpddddwd
6-7 w: kwwwwhs
8-10 r: rrrfmrrrrd
2-11 x: xcjcgtkzkhtmrxqjxxx
4-5 v: wvmdr
7-8 d: dddddddd
7-13 l: lllllldlxllln
13-14 z: zzdrzzzffzzzzzznzz
3-4 j: zjjj
8-9 s: sssssssbss
6-15 f: pfsfvfxqpffqfqf
9-11 p: pjpppprzpcphvppwp
3-4 c: ccrd
9-10 c: qcwbccccjhwvtwcccnc
3-4 x: xgxx
5-6 x: xgxzxxxxxxx
5-10 l: kxdgnqrkpqgcmcmnk
4-7 v: vvvpvvvv
1-4 n: nqnnnnnn
5-6 p: pprgpst
14-20 q: wlxrjczhxwdctvpcgxqc
5-8 g: gcggbggggggzgg
10-11 g: ggggtggggggg
14-18 h: hhchhhmhhbwhhlhsvrh
3-6 f: ffmfffffffff
1-12 n: rnnnnjwnnnnv
7-12 l: bpxlhthjplljwxvvvjm
4-5 j: jhjjjjj
9-12 q: qvqqqqqvqsqq
3-4 d: ddnvdddddgddd
1-7 h: xhhhhhkh
1-4 f: fffff
3-4 q: qfrq
5-8 k: kkkkgkkqkk
14-18 k: nkkkkkkfkkwkkkkkqk
1-4 q: qqdc
17-18 f: ffffffffhffffffffff
16-17 b: bbbbbbbbbbbbbbbdm
17-18 z: zzzzzzzzzznzzzvzmwzz
3-4 g: tggd
4-6 t: mlttlqqz
11-18 f: fgffgwlffffftfzfrt
7-9 h: hmmhhhpljjn
16-17 m: mmrsnmmzfhtmrjwmmjm
2-3 l: cllcbm
3-4 k: fkkkqbpbmmcd
9-10 f: kfmchwkwzfh
5-6 j: jjmjjjjjj
3-5 v: vsvbfvvh
3-4 k: tgkk
2-8 k: lscvjjnhpxl
7-8 v: vvlvvfkqqv
8-9 q: qcqqtqqhqvqqtq
12-14 z: zzzhzwzzqzzzzwzzlz
5-8 k: kzknkkkkkp
5-6 s: spsssw
2-3 k: kmkh
9-10 f: vnlxmstqbsg
1-2 k: kkkk
6-15 r: rcrrrsrrrrrrrrzrrqrr
3-8 c: cfczjwkcxbc
15-16 k: kkkkgkkkkkkkkkkh
5-18 c: ccdcxtccccccpcfccv
6-11 w: qdwnfhzlwwwwxwwgwhwk
1-6 d: fddddddhddw
7-10 p: wpbppvpzwc
12-14 k: kkkkkkkkkkhhkslsk
4-7 r: hdrrfhrqrdmcbnlrrjbr
7-10 b: bbbbbjbbbbbb
4-7 p: pzppzppsp
11-12 h: qhhhhhhqhrlwlhhthh
6-9 s: sbssxsskswvp
17-18 b: bbmpbbhhbnsbbbbbbb
8-9 g: wgggktggg
1-12 s: vsssssfssssrqk
2-5 s: bsgssxc
3-4 c: ccccccc
2-3 d: dddd
5-7 r: ldlcjrrlrngr
5-10 m: msmjqmmmmm
3-7 c: ccccccccc
13-14 p: pppxpppppppppcpppp
2-3 r: jrfrvrk
11-12 g: gggggggggggg
6-18 t: ctvqgcrgnxdvbzjfrrbt
6-11 f: rnjptfnwgxfp
5-8 w: wwwtwwwwww
14-15 r: rkrbrvrrrgrczrz
12-13 t: trtjtttlnxnxx
5-8 l: qnwllfsl
2-15 g: xgtcjftlqqfwkggpf
11-16 j: jjjjjjjjjljjjjjjj
8-9 b: bbzbkbbvgcbb
5-6 r: dvkxrrsvrrksszsdr
12-13 j: jjjjjjjjjjjhdjjj
16-17 z: mzzzrxfzzzzczzgzz
2-15 p: lpjxcdzjmnghfppr
9-15 s: ssssssssnsssssss
1-11 t: tfvtqvlbtld
4-5 k: kkkczkkkvkkk
2-7 p: ptphppvppppp
>>>>>>> 8600c26e818915c18eaafae66346891079b34dc4
